EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1426791360,43.21,43.21,43.21,43.21,300
13,43.22,43.22,43.22,43.22,100
15,43.22,43.22,43.22,43.22,1300
19,43.24,43.24,43.24,43.24,300
23,43.26,43.26,43.24,43.24,400
25,43.28,43.28,43.28,43.28,1631
26,43.29,43.29,43.29,43.29,200
29,43.27,43.27,43.27,43.27,1000
30,43.26,43.26,43.26,43.26,800
37,43.28,43.28,43.28,43.28,200
47,43.28,43.28,43.28,43.28,250
59,43.27,43.27,43.27,43.27,100
60,43.291,43.291,43.291,43.291,297
62,43.29,43.29,43.29,43.29,100
64,43.28,43.28,43.23,43.25,700
a1426858200,43.5,43.5,43.5,43.5,8564
2,43.61,43.61,43.61,43.61,100
15,43.57,43.57,43.57,43.57,100
22,43.6,43.6,43.6,43.6,100
24,43.6,43.6,43.6,43.6,100
30,43.611,43.62,43.611,43.62,1527
32,43.62,43.62,43.62,43.62,100
33,43.62,43.62,43.62,43.62,415
42,43.66,43.66,43.66,43.66,100
44,43.68,43.68,43.67,43.67,600
49,43.69,43.69,43.69,43.69,300
50,43.69,43.69,43.69,43.69,500
53,43.67,43.67,43.66,43.66,4600
68,43.641,43.65,43.641,43.65,1231
69,43.65,43.65,43.65,43.65,200
71,43.65,43.65,43.65,43.65,100
75,43.68,43.68,43.68,43.68,800
76,43.68,43.68,43.68,43.68,400
79,43.66,43.66,43.66,43.66,500
80,43.66,43.66,43.66,43.66,400
81,43.65,43.65,43.65,43.65,800
82,43.65,43.65,43.65,43.65,702
85,43.61,43.61,43.61,43.61,100
86,43.61,43.61,43.61,43.61,200
101,43.67,43.67,43.67,43.67,326
102,43.67,43.67,43.67,43.67,200
110,43.69,43.69,43.69,43.69,100
115,43.75,43.75,43.75,43.75,300
119,43.73,43.77,43.73,43.77,800
120,43.73,43.73,43.73,43.73,100
130,43.73,43.73,43.73,43.73,100
135,43.73,43.73,43.73,43.73,200
136,43.73,43.73,43.73,43.73,190
140,43.73,43.73,43.73,43.73,100
149,43.74,43.74,43.73,43.73,200
150,43.745,43.745,43.745,43.745,100
151,43.75,43.75,43.75,43.75,200
152,43.78,43.78,43.78,43.78,100
155,43.79,43.79,43.79,43.79,500
156,43.78,43.78,43.78,43.78,200
157,43.79,43.79,43.79,43.79,500
165,43.81,43.81,43.79,43.79,981
168,43.77,43.77,43.77,43.77,100
172,43.78,43.78,43.78,43.78,100
173,43.78,43.78,43.78,43.78,100
178,43.76,43.77,43.76,43.77,4000
179,43.75,43.75,43.75,43.75,18095
181,43.79,43.79,43.79,43.79,400
184,43.77,43.77,43.77,43.77,100
186,43.82,43.82,43.82,43.82,100
189,43.85,43.85,43.85,43.85,301
193,43.83,43.83,43.83,43.83,100
198,43.84,43.84,43.84,43.84,300
201,43.84,43.84,43.84,43.84,200
203,43.88,43.88,43.88,43.88,400
205,43.89,43.89,43.89,43.89,600
206,43.9,43.9,43.9,43.9,500
208,43.9,43.9,43.9,43.9,600
211,43.9,43.9,43.9,43.9,200
213,43.88,43.88,43.88,43.88,241
215,43.88,43.88,43.88,43.88,100
218,43.88,43.88,43.88,43.88,200
228,43.93,43.93,43.92,43.92,500
234,43.91,43.91,43.91,43.91,200
239,43.92,43.92,43.92,43.92,200
241,43.9,43.9,43.9,43.9,543
251,43.9,43.9,43.9,43.9,300
253,43.9,43.9,43.9,43.9,200
256,43.9,43.9,43.9,43.9,2077
257,43.9,43.9,43.9,43.9,100
263,43.93,43.93,43.93,43.93,100
267,43.9,43.9,43.9,43.9,100
268,43.89,43.89,43.89,43.89,200
276,43.89,43.89,43.89,43.89,225
277,43.89,43.89,43.89,43.89,100
284,43.89,43.89,43.89,43.89,200
287,43.89,43.89,43.89,43.89,100
301,43.87,43.87,43.87,43.87,200
316,43.86,43.86,43.86,43.86,178
317,43.86,43.86,43.86,43.86,200
321,43.89,43.89,43.89,43.89,100
326,43.87,43.87,43.87,43.87,100
331,43.88,43.88,43.88,43.88,100
334,43.89,43.89,43.88,43.88,400
336,43.89,43.89,43.89,43.89,100
344,43.91,43.91,43.91,43.91,100
346,43.88,43.88,43.88,43.88,300
348,43.88,43.88,43.88,43.88,1223
350,43.83,43.84,43.83,43.84,900
355,43.84,43.84,43.84,43.84,100
358,43.85,43.85,43.85,43.85,200
361,43.86,43.86,43.85,43.85,700
362,43.85,43.85,43.85,43.85,100
371,43.88,43.88,43.88,43.88,100
376,43.87,43.87,43.87,43.87,200
380,43.86,43.86,43.86,43.86,100
382,43.85,43.85,43.85,43.85,300
387,43.86,43.86,43.86,43.86,100
390,43.84,43.86,43.82,43.83,559
a1427117400,43.9,43.9,43.85,43.85,8760
3,43.97,43.97,43.97,43.97,100
5,44,44,44,44,2623
11,44.05,44.05,44.05,44.05,150
29,44,44,44,44,400
44,44.01,44.01,44.01,44.01,100
50,44,44,44,44,100
51,44.04,44.04,44.04,44.04,100
55,44.05,44.05,44.05,44.05,233
63,44,44,44,44,200
68,44,44,44,44,100
81,44.02,44.02,44.02,44.02,100
86,44,44,44,44,200
87,44.03,44.03,44.03,44.03,100
94,43.97,43.99,43.96,43.99,823
106,43.93,43.93,43.93,43.93,100
110,43.94,43.94,43.94,43.94,100
145,43.97,43.97,43.96,43.96,1000
148,43.97,43.97,43.97,43.97,100
171,43.97,43.97,43.97,43.97,200
174,44.01,44.01,44.01,44.01,100
185,44.1,44.1,44.09,44.09,200
260,44.12,44.12,44.12,44.12,100
276,44.11,44.11,44.11,44.11,200
317,44.111,44.111,44.111,44.111,700
318,44.111,44.111,44.111,44.111,800
319,44.111,44.111,44.111,44.111,200
320,44.11,44.11,44.11,44.11,100
340,44.14,44.14,44.14,44.14,100
353,44.13,44.13,44.12,44.12,270
368,44.12,44.12,44.12,44.12,100
381,44.14,44.14,44.14,44.14,322
382,44.15,44.15,44.15,44.15,355
389,44.13,44.13,44.13,44.13,1454
390,44.1,44.12,44.07,44.12,2153
a1427203800,44.13,44.13,44.13,44.13,3652
31,44.18,44.18,44.17,44.17,400
35,44.2,44.2,44.2,44.2,1050
44,44.22,44.22,44.22,44.22,200
45,44.23,44.23,44.23,44.23,1318
48,44.22,44.23,44.22,44.23,955
55,44.22,44.22,44.22,44.22,260
69,44.19,44.2,44.19,44.2,400
81,44.19,44.19,44.19,44.19,200
82,44.18,44.2,44.18,44.2,4745
93,44.2,44.2,44.2,44.2,104
98,44.21,44.21,44.21,44.21,400
121,44.17,44.17,44.17,44.17,200
132,44.18,44.18,44.18,44.18,100
134,44.171,44.18,44.171,44.18,470
177,44.21,44.21,44.21,44.21,100
232,44.22,44.22,44.22,44.22,300
252,44.21,44.21,44.21,44.21,330
281,44.22,44.22,44.22,44.22,200
315,44.21,44.21,44.21,44.21,650
316,44.21,44.21,44.21,44.21,300
335,44.23,44.23,44.23,44.23,800
336,44.25,44.25,44.25,44.25,100
339,44.27,44.27,44.27,44.27,100
351,44.26,44.26,44.26,44.26,600
352,44.26,44.26,44.26,44.26,1172
356,44.26,44.26,44.26,44.26,516
365,44.27,44.27,44.27,44.27,200
379,44.28,44.28,44.28,44.28,449
380,44.28,44.28,44.28,44.28,1014
382,44.29,44.29,44.29,44.29,100
384,44.3,44.3,44.3,44.3,500
387,44.3,44.3,44.3,44.3,1062
a1427290200,44.24,44.24,44.24,44.24,2670
1,44.29,44.29,44.29,44.29,100
29,44.14,44.14,44.14,44.14,393
71,44.11,44.13,44.11,44.13,5200
72,44.11,44.12,44.1,44.12,900
95,44.15,44.15,44.15,44.15,1300
114,44.05,44.05,44.05,44.05,1100
121,44.03,44.04,44.03,44.04,1100
122,44.02,44.02,44.01,44.01,200
126,44,44,44,44,800
142,43.96,43.96,43.96,43.96,100
143,43.98,43.98,43.98,43.98,300
144,43.98,43.98,43.98,43.98,100
172,43.94,43.94,43.94,43.94,100
178,43.93,43.93,43.92,43.92,1670
179,43.91,43.91,43.91,43.91,1500
192,43.88,43.88,43.88,43.88,300
196,43.88,43.88,43.88,43.88,1500
208,43.9,43.9,43.9,43.9,100
