EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425416100,44.34,44.34,44.34,44.34,100
4,44.34,44.34,44.34,44.34,300
5,44.36,44.36,44.35,44.36,506
a1425479400,44.2,44.2,44.2,44.2,1857
1,44.16,44.16,44.16,44.16,100
4,44.15,44.16,44.15,44.16,200
14,43.99,44,43.9,44,2057
15,43.97,43.97,43.97,43.97,100
32,43.99,43.99,43.99,43.99,100
54,43.89,43.89,43.89,43.89,200
77,43.9,43.9,43.9,43.9,218
81,43.97,43.97,43.97,43.97,210
121,44,44.01,44,44.01,700
128,44.01,44.01,44,44,200
142,44,44,44,44,500
143,43.98,43.98,43.98,43.98,100
151,43.96,43.96,43.96,43.96,100
159,43.99,43.99,43.99,43.99,100
163,43.98,43.98,43.98,43.98,500
193,44.03,44.04,44.03,44.04,302
218,44.01,44.01,44.01,44.01,100
242,44.03,44.03,44.03,44.03,350
244,43.99,44,43.99,44,400
267,43.96,43.96,43.96,43.96,400
271,43.99,43.99,43.98,43.98,300
298,43.99,43.99,43.99,43.99,100
315,44.01,44.01,44.01,44.01,200
336,44,44,44,44,400
345,44.13,44.13,44.07,44.07,2600
361,44.06,44.06,44.06,44.06,300
385,44.02,44.04,44.02,44.04,500
390,44.06,44.06,44.01,44.01,2733
a1425565800,44.03,44.03,44.03,44.03,2646
6,43.96,43.96,43.96,43.96,100
10,44.07,44.07,44.07,44.07,475
26,44.06,44.07,44.03,44.04,455
27,44.05,44.05,44.05,44.05,100
38,44.01,44.02,44.01,44.02,2200
42,44.02,44.02,44.02,44.02,147
70,44.05,44.05,44.05,44.05,200
92,44,44,44,44,486
102,44,44,44,44,1781
122,43.98,43.98,43.98,43.98,200
164,43.92,43.92,43.92,43.92,293
176,43.9,43.9,43.9,43.9,199
180,43.86,43.86,43.86,43.86,100
206,43.79,43.79,43.79,43.79,1200
208,43.77,43.77,43.77,43.77,100
209,43.77,43.77,43.77,43.77,129
264,43.9,43.9,43.9,43.9,2200
265,43.87,43.87,43.87,43.87,100
299,43.91,43.91,43.91,43.91,100
308,43.95,43.95,43.95,43.95,1200
309,43.91,43.91,43.91,43.91,100
317,43.91,43.91,43.91,43.91,100
333,43.91,43.91,43.91,43.91,100
354,43.94,43.96,43.94,43.94,1114
362,43.94,43.94,43.94,43.94,200
363,43.95,43.95,43.94,43.94,1958
373,43.94,43.94,43.94,43.94,100
386,43.95,43.95,43.95,43.95,100
389,43.94,43.94,43.94,43.94,1100
390,43.94,43.96,43.94,43.94,739
a1425652200,43.75,43.79,43.75,43.79,2911
1,43.69,43.69,43.69,43.69,100
48,43.6,43.6,43.6,43.6,156
87,43.5,43.5,43.5,43.5,300
97,43.45,43.45,43.45,43.45,400
101,43.42,43.42,43.42,43.42,300
122,43.42,43.42,43.42,43.42,656
124,43.43,43.43,43.43,43.43,100
125,43.43,43.43,43.43,43.43,221
146,43.42,43.42,43.42,43.42,100
148,43.42,43.42,43.42,43.42,300
149,43.42,43.42,43.42,43.42,2100
150,43.39,43.42,43.39,43.42,933
168,43.38,43.38,43.38,43.38,400
170,43.37,43.37,43.37,43.37,1307
198,43.35,43.37,43.35,43.37,457
243,43.33,43.33,43.33,43.33,100
257,43.29,43.29,43.29,43.29,100
290,43.35,43.35,43.35,43.35,200
318,43.31,43.31,43.31,43.31,100
342,43.34,43.34,43.34,43.34,100
364,43.37,43.37,43.37,43.37,1624
368,43.37,43.37,43.37,43.37,100
369,43.38,43.38,43.38,43.38,2100
374,43.389,43.389,43.389,43.389,145
379,43.38,43.38,43.38,43.38,200
381,43.38,43.38,43.38,43.38,200
383,43.38,43.38,43.38,43.38,200
385,43.38,43.38,43.38,43.38,200
387,43.4,43.4,43.4,43.4,400
388,43.4,43.4,43.4,43.4,300
389,43.4,43.4,43.4,43.4,500
390,43.41,43.41,43.41,43.41,956
TIMEZONE_OFFSET=-240
a1425907800,43.38,43.38,43.38,43.38,2984
21,43.45,43.45,43.45,43.45,300
31,43.46,43.46,43.46,43.46,100
34,43.43,43.43,43.43,43.43,100
39,43.47,43.47,43.47,43.47,100
93,43.41,43.42,43.41,43.42,200
98,43.41,43.41,43.41,43.41,200
103,43.41,43.41,43.41,43.41,100
112,43.41,43.41,43.41,43.41,100
113,43.411,43.411,43.411,43.411,500
129,43.4,43.4,43.4,43.4,100
132,43.4,43.4,43.4,43.4,100
142,43.4,43.4,43.4,43.4,200
153,43.36,43.36,43.36,43.36,300
158,43.33,43.33,43.33,43.33,290
160,43.33,43.33,43.33,43.33,200
169,43.33,43.33,43.33,43.33,100
179,43.33,43.33,43.33,43.33,100
182,43.321,43.321,43.321,43.321,406
187,43.34,43.34,43.34,43.34,100
192,43.34,43.34,43.34,43.34,300
193,43.34,43.34,43.34,43.34,800
195,43.35,43.35,43.35,43.35,1765
199,43.35,43.35,43.35,43.35,100
201,43.35,43.35,43.35,43.35,100
215,43.36,43.36,43.36,43.36,100
223,43.37,43.37,43.37,43.37,100
224,43.39,43.39,43.39,43.39,100
225,43.38,43.4,43.38,43.4,200
227,43.39,43.39,43.39,43.39,100
228,43.38,43.38,43.38,43.38,100
231,43.37,43.37,43.37,43.37,100
233,43.38,43.38,43.38,43.38,100
240,43.42,43.42,43.42,43.42,100
246,43.45,43.45,43.45,43.45,100
251,43.44,43.44,43.44,43.44,100
255,43.46,43.46,43.46,43.46,100
258,43.46,43.46,43.46,43.46,937
259,43.46,43.46,43.46,43.46,100
260,43.46,43.46,43.46,43.46,466
261,43.44,43.44,43.44,43.44,100
262,43.44,43.44,43.44,43.44,100
296,43.39,43.39,43.39,43.39,150
300,43.39,43.39,43.39,43.39,2673
301,43.39,43.39,43.39,43.39,227
304,43.38,43.38,43.38,43.38,272
305,43.35,43.38,43.35,43.38,3250
308,43.37,43.37,43.37,43.37,501
321,43.42,43.42,43.42,43.42,100
336,43.4,43.4,43.4,43.4,200
339,43.4,43.42,43.4,43.42,600
341,43.42,43.42,43.42,43.42,300
345,43.43,43.43,43.41,43.41,1200
346,43.42,43.42,43.42,43.42,502
347,43.42,43.42,43.42,43.42,235
351,43.42,43.42,43.42,43.42,294
354,43.41,43.41,43.41,43.41,500
356,43.4,43.4,43.4,43.4,384
368,43.4,43.4,43.4,43.4,200
370,43.4,43.4,43.4,43.4,160
372,43.4,43.4,43.4,43.4,250
374,43.39,43.39,43.39,43.39,100
