EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1426792320,75.69,75.69,75.69,75.69,100
13,75.66,75.66,75.66,75.66,1000
35,75.641,75.641,75.641,75.641,100
45,75.68,75.68,75.68,75.68,100
a1426858200,75.99,75.99,75.99,75.99,588
6,76.08,76.08,76.08,76.08,100
34,76.05,76.05,76.05,76.05,1000
36,76.03,76.03,76.03,76.03,100
45,76.02,76.02,76.02,76.02,900
56,76.03,76.03,76.03,76.03,400
63,76.08,76.08,76.08,76.08,300
67,76.18,76.18,76.14,76.14,4022
80,76.13,76.13,76.13,76.13,300
92,76.21,76.21,76.21,76.21,200
108,76.25,76.25,76.25,76.25,100
134,76.27,76.27,76.27,76.27,100
175,76.28,76.28,76.28,76.28,100
178,76.28,76.28,76.28,76.28,100
185,76.35,76.35,76.35,76.35,100
230,76.5,76.5,76.5,76.5,466
231,76.53,76.53,76.53,76.53,100
246,76.51,76.51,76.51,76.51,100
259,76.49,76.49,76.49,76.49,100
279,76.5,76.5,76.5,76.5,300
299,76.4,76.4,76.4,76.4,400
305,76.38,76.39,76.38,76.39,1600
306,76.41,76.41,76.41,76.41,300
314,76.42,76.42,76.42,76.42,400
340,76.44,76.44,76.44,76.44,100
342,76.44,76.44,76.44,76.44,100
343,76.469,76.469,76.469,76.469,170
347,76.41,76.41,76.41,76.41,100
350,76.35,76.35,76.35,76.35,100
352,76.3,76.3,76.3,76.3,100
355,76.33,76.33,76.33,76.33,300
361,76.35,76.35,76.34,76.34,500
368,76.34,76.34,76.34,76.34,500
369,76.39,76.39,76.39,76.39,700
382,76.43,76.43,76.43,76.43,100
388,76.38,76.38,76.38,76.38,100
390,76.34,76.34,76.34,76.34,200
a1427117400,76.3,76.3,76.3,76.3,1903
28,76.51,76.51,76.51,76.51,150
42,76.62,76.62,76.62,76.62,100
49,76.61,76.61,76.61,76.61,100
125,76.62,76.62,76.62,76.62,100
183,76.67,76.67,76.67,76.67,9400
241,76.65,76.65,76.65,76.65,100
248,76.64,76.64,76.64,76.64,100
301,76.73,76.73,76.73,76.73,1000
323,76.65,76.66,76.65,76.66,200
a1427203800,76.35,76.35,76.35,76.35,491
14,76.21,76.21,76.21,76.21,100
47,76.35,76.35,76.35,76.35,1312
77,76.19,76.19,76.19,76.19,100
81,76.189,76.189,76.189,76.189,100
96,76.17,76.17,76.17,76.17,100
98,76.26,76.26,76.26,76.26,100
101,76.22,76.22,76.22,76.22,100
205,76.04,76.04,76.04,76.04,500
237,76,76,76,76,100
276,75.96,75.96,75.96,75.96,200
367,75.91,75.921,75.91,75.921,300
370,75.91,75.91,75.91,75.91,200
373,75.91,75.91,75.91,75.91,100
374,75.89,75.89,75.89,75.89,200
381,75.88,75.88,75.88,75.88,100
a1427290200,76.1,76.1,76.1,76.1,433
174,75.76,75.76,75.76,75.76,111
224,75.6,75.6,75.6,75.6,100
262,75.72,75.72,75.72,75.72,1196
263,75.72,75.72,75.72,75.72,800
390,75.33,75.33,75.33,75.33,100
a1427376600,75.11,75.11,75.11,75.11,964
7,75.25,75.25,75.25,75.25,100
120,75,75,75,75,1900
149,75.21,75.21,75.21,75.21,134
243,75.18,75.18,75.18,75.18,100
303,75.25,75.25,75.25,75.25,100
308,75.26,75.26,75.26,75.26,100
323,75.15,75.15,75.15,75.15,100
327,75.19,75.19,75.19,75.19,100
333,75.1,75.1,75.1,75.1,100
338,75.09,75.09,75.09,75.09,100
349,75.09,75.09,75.09,75.09,100
390,74.97,74.97,74.97,74.97,357
a1427463000,74.97,74.97,74.97,74.97,1494
1,75,75,75,75,100
33,75.18,75.18,75.18,75.18,100
35,75.23,75.23,75.23,75.23,100
51,75.07,75.07,75.06,75.06,200
53,75.11,75.11,75.1,75.1,552
69,75.1,75.1,75.09,75.09,200
81,75.21,75.21,75.21,75.21,100
104,75.27,75.27,75.26,75.26,412
106,75.32,75.32,75.32,75.32,100
113,75.3,75.3,75.3,75.3,106
114,75.31,75.31,75.31,75.31,100
130,75.28,75.28,75.28,75.28,100
132,75.26,75.26,75.26,75.26,100
177,75.23,75.23,75.23,75.23,200
192,75.24,75.24,75.24,75.24,200
235,75.151,75.16,75.151,75.16,500
237,75.19,75.19,75.19,75.19,200
293,75.19,75.19,75.18,75.18,2126
324,75.19,75.19,75.19,75.19,300
354,75.16,75.16,75.16,75.16,200
368,75.27,75.27,75.27,75.27,200
382,75.32,75.32,75.32,75.32,100
387,75.38,75.38,75.38,75.38,265
a1427722200,75.72,75.72,75.72,75.72,1233
51,76.07,76.07,76.07,76.07,100
164,76.18,76.18,76.18,76.18,2169
252,76.26,76.26,76.26,76.26,430
330,76.41,76.41,76.41,76.41,327
390,76.37,76.37,76.37,76.37,100
a1427808600,75.9,75.9,75.9,75.9,1061
2,75.84,75.84,75.84,75.84,100
36,76.191,76.191,76.191,76.191,100
43,76.25,76.25,76.25,76.25,100
56,76.27,76.27,76.27,76.27,100
115,76.24,76.24,76.24,76.24,300
137,76.17,76.17,76.17,76.17,100
165,76.05,76.05,76.05,76.05,100
189,76.101,76.101,76.101,76.101,300
200,76.11,76.11,76.11,76.11,350
217,76.13,76.13,76.13,76.13,100
246,76.211,76.211,76.211,76.211,265
283,76.13,76.13,76.13,76.13,300
302,76.08,76.08,76.08,76.08,100
308,76.081,76.081,76.081,76.081,300
321,76.1,76.1,76.1,76.1,100
346,75.87,75.87,75.87,75.87,100
351,75.83,75.83,75.83,75.83,100
372,75.8,75.85,75.8,75.85,200
390,75.82,75.82,75.82,75.82,0
a1427895000,75.73,75.73,75.73,75.73,407
28,75.34,75.34,75.34,75.34,100
31,75.39,75.39,75.39,75.39,300
66,75.45,75.45,75.45,75.45,200
85,75.58,75.58,75.58,75.58,428
246,75.651,75.651,75.651,75.651,200
284,75.65,75.65,75.65,75.65,100
306,75.53,75.53,75.53,75.53,100
312,75.54,75.54,75.54,75.54,100
344,75.52,75.52,75.52,75.52,100
387,75.63,75.63,75.63,75.63,100
a1427981400,75.65,75.65,75.65,75.65,576
6,75.78,75.78,75.78,75.78,174
23,76.1,76.1,76.1,76.1,100
38,76.14,76.14,76.14,76.14,100
85,76.01,76.01,76.01,76.01,100
146,75.91,75.91,75.91,75.91,100
151,75.87,75.87,75.87,75.87,100
163,75.81,75.81,75.81,75.81,200
176,75.86,75.86,75.86,75.86,390
188,75.88,75.88,75.88,75.88,100
260,75.83,75.83,75.83,75.83,100
285,75.88,75.88,75.88,75.88,1000
315,75.84,75.84,75.84,75.84,100
375,75.91,75.91,75.91,75.91,266
377,75.99,75.99,75.99,75.99,100
390,75.96,75.96,75.96,75.96,100
a1428327000,75.61,75.61,75.61,75.61,4699
11,76,76,76,76,1600
50,76.27,76.27,76.27,76.27,200
52,76.41,76.41,76.41,76.41,1600
105,76.52,76.52,76.52,76.52,200
114,76.521,76.521,76.521,76.521,115
141,76.6,76.6,76.6,76.6,106
205,76.66,76.66,76.66,76.66,100
212,76.69,76.69,76.69,76.69,100
213,76.66,76.66,76.66,76.66,100
215,76.69,76.69,76.69,76.69,100
218,76.69,76.69,76.69,76.69,100
338,76.7,76.7,76.7,76.7,100
359,76.59,76.591,76.59,76.591,694
377,76.52,76.52,76.52,76.52,200
a1428413400,76.48,76.48,76.48,76.48,801
63,76.551,76.551,76.551,76.551,300
93,76.55,76.55,76.55,76.55,100
256,76.56,76.56,76.56,76.56,100
335,76.54,76.54,76.54,76.54,100
381,76.251,76.29,76.251,76.29,360
383,76.211,76.211,76.211,76.211,300
385,76.211,76.211,76.211,76.211,300
386,76.2,76.2,76.2,76.2,100
388,76.21,76.21,76.21,76.21,100
a1428499800,76.31,76.31,76.31,76.31,674
72,76.09,76.09,76.09,76.09,100
96,76.1,76.1,76.1,76.1,200
99,76.1,76.1,76.1,76.1,266
128,76.18,76.18,76.18,76.18,100
271,76.27,76.27,76.27,76.27,100
272,76.15,76.15,76.15,76.15,500
293,76.38,76.38,76.38,76.38,100
307,76.27,76.27,76.27,76.27,100
358,76.191,76.191,76.191,76.191,130
390,76.22,76.22,76.22,76.22,100
