EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425416040,77.111,77.111,77.111,77.111,300
6,77.17,77.17,77.17,77.17,100
a1425479400,76.92,76.92,76.92,76.92,1172
15,76.67,76.67,76.67,76.67,100
37,76.56,76.56,76.56,76.56,900
40,76.55,76.55,76.55,76.55,147
76,76.5,76.5,76.5,76.5,100
79,76.4,76.4,76.4,76.4,522
183,76.64,76.64,76.64,76.64,100
192,76.67,76.67,76.67,76.67,100
213,76.61,76.61,76.61,76.61,100
266,76.57,76.57,76.57,76.57,100
283,76.55,76.55,76.55,76.55,100
303,76.551,76.551,76.551,76.551,167
309,76.55,76.55,76.55,76.55,200
313,76.6,76.6,76.6,76.6,100
322,76.62,76.62,76.62,76.62,200
357,76.69,76.69,76.69,76.69,100
359,76.7,76.7,76.7,76.7,100
361,76.73,76.73,76.73,76.73,100
363,76.74,76.74,76.74,76.74,100
375,76.72,76.72,76.72,76.72,100
385,76.74,76.74,76.74,76.74,100
388,76.76,76.76,76.76,76.76,100
390,76.76,76.76,76.76,76.76,300
a1425565800,76.87,76.87,76.87,76.87,1056
102,76.75,76.75,76.75,76.75,100
107,76.71,76.71,76.71,76.71,100
196,76.63,76.63,76.63,76.63,100
320,76.62,76.62,76.62,76.62,100
362,76.62,76.62,76.62,76.62,100
366,76.64,76.64,76.64,76.64,100
378,76.65,76.65,76.65,76.65,100
a1425652200,76.15,76.15,76.15,76.15,1577
2,76.01,76.01,76.01,76.01,100
7,76,76,76,76,100
10,75.96,75.96,75.96,75.96,100
11,76.02,76.02,76.02,76.02,100
37,75.92,75.92,75.92,75.92,600
38,75.94,75.94,75.94,75.94,100
45,75.9,75.9,75.9,75.9,100
60,75.91,75.91,75.91,75.91,100
84,75.8,75.8,75.8,75.8,150
87,75.81,75.81,75.81,75.81,100
95,75.73,75.73,75.73,75.73,200
98,75.68,75.71,75.68,75.71,234
101,75.64,75.64,75.64,75.64,100
110,75.6,75.6,75.6,75.6,376
120,75.55,75.55,75.55,75.55,328
129,75.49,75.49,75.49,75.49,200
153,75.52,75.52,75.52,75.52,100
162,75.5,75.5,75.5,75.5,100
163,75.48,75.48,75.48,75.48,153
165,75.48,75.48,75.48,75.48,100
168,75.44,75.44,75.44,75.44,100
170,75.39,75.39,75.38,75.38,757
176,75.34,75.34,75.34,75.34,100
189,75.4,75.4,75.4,75.4,100
196,75.42,75.42,75.42,75.42,116
212,75.4,75.4,75.4,75.4,108
271,75.35,75.35,75.35,75.35,100
272,75.42,75.42,75.42,75.42,100
294,75.31,75.31,75.31,75.31,100
325,75.25,75.25,75.25,75.25,100
329,75.27,75.27,75.27,75.27,100
332,75.3,75.3,75.27,75.27,400
333,75.33,75.33,75.31,75.31,300
350,75.34,75.34,75.34,75.34,100
355,75.33,75.33,75.33,75.33,100
362,75.29,75.29,75.29,75.29,100
371,75.2,75.2,75.2,75.2,100
379,75.19,75.19,75.19,75.19,200
384,75.23,75.23,75.23,75.23,100
386,75.24,75.24,75.24,75.24,100
387,75.26,75.26,75.26,75.26,200
389,75.24,75.24,75.24,75.24,100
390,75.29,75.29,75.29,75.29,100
TIMEZONE_OFFSET=-240
a1425907800,75.5,75.5,75.5,75.5,561
36,75.58,75.58,75.58,75.58,100
38,75.579,75.579,75.579,75.579,228
45,75.58,75.58,75.58,75.58,718
56,75.59,75.59,75.59,75.59,100
68,75.62,75.62,75.62,75.62,100
93,75.66,75.66,75.66,75.66,100
98,75.62,75.62,75.62,75.62,161
119,75.59,75.59,75.59,75.59,1060
169,75.53,75.53,75.53,75.53,200
184,75.61,75.61,75.61,75.61,475
185,75.62,75.62,75.61,75.61,200
228,75.641,75.641,75.641,75.641,105
297,75.62,75.62,75.62,75.62,100
299,75.66,75.66,75.66,75.66,100
326,75.71,75.71,75.71,75.71,100
350,75.62,75.62,75.62,75.62,100
355,75.61,75.61,75.61,75.61,100
356,75.6,75.6,75.6,75.6,100
361,75.66,75.66,75.66,75.66,100
365,75.661,75.661,75.661,75.661,300
375,75.601,75.601,75.601,75.601,260
379,75.621,75.621,75.621,75.621,300
382,75.6,75.6,75.6,75.6,100
384,75.6,75.6,75.6,75.6,700
385,75.59,75.59,75.59,75.59,100
389,75.55,75.55,75.55,75.55,213
390,75.52,75.54,75.52,75.54,1531
a1425994200,74.92,74.92,74.92,74.92,2185
7,74.96,74.96,74.96,74.96,100
14,74.93,74.93,74.93,74.93,100
17,74.89,74.89,74.89,74.89,100
18,74.89,74.89,74.89,74.89,200
21,74.88,74.88,74.88,74.88,100
25,74.96,74.96,74.96,74.96,100
55,74.88,74.88,74.88,74.88,100
58,74.84,74.84,74.84,74.84,100
59,74.87,74.87,74.87,74.87,100
60,74.92,74.92,74.92,74.92,100
71,74.9,74.9,74.9,74.9,100
84,75.06,75.06,75.06,75.06,100
137,74.85,74.85,74.85,74.85,100
142,74.88,74.88,74.88,74.88,100
153,74.72,74.72,74.72,74.72,100
161,74.8,74.8,74.8,74.8,100
177,74.75,74.75,74.75,74.75,100
180,74.74,74.761,74.74,74.761,350
181,74.74,74.74,74.74,74.74,800
183,74.75,74.75,74.75,74.75,100
186,74.74,74.74,74.74,74.74,200
199,74.79,74.79,74.79,74.79,300
201,74.77,74.77,74.77,74.77,100
227,74.77,74.77,74.77,74.77,100
232,74.91,74.91,74.91,74.91,200
240,74.85,74.86,74.85,74.86,200
263,74.85,74.85,74.85,74.85,100
265,74.82,74.82,74.82,74.82,100
293,74.74,74.74,74.74,74.74,100
353,74.82,74.82,74.82,74.82,100
356,74.83,74.83,74.83,74.83,100
386,74.75,74.75,74.75,74.75,200
a1426080600,74.74,74.74,74.74,74.74,918
8,74.68,74.68,74.68,74.68,100
22,74.7,74.7,74.7,74.7,1761
23,74.63,74.63,74.63,74.63,100
26,74.63,74.63,74.63,74.63,900
50,74.56,74.56,74.56,74.56,100
60,74.6,74.6,74.6,74.6,100
128,74.48,74.48,74.48,74.48,100
145,74.48,74.48,74.48,74.48,100
149,74.46,74.46,74.45,74.45,200
189,74.38,74.38,74.38,74.38,100
198,74.39,74.39,74.39,74.39,100
203,74.42,74.42,74.42,74.42,100
207,74.39,74.39,74.39,74.39,200
280,74.38,74.38,74.38,74.38,100
283,74.39,74.39,74.39,74.39,100
301,74.45,74.45,74.41,74.41,200
357,74.37,74.37,74.37,74.37,100
