EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1426794180,29.15,29.15,29.15,29.15,700
a1426858200,29.21,29.21,29.21,29.21,1036
4,29.1,29.1,29.1,29.1,100
99,29.23,29.23,29.23,29.23,190
179,29.28,29.28,29.28,29.28,100
261,29.33,29.33,29.33,29.33,100
271,29.33,29.33,29.33,29.33,200
292,29.35,29.35,29.35,29.35,100
331,29.37,29.37,29.37,29.37,300
345,29.38,29.38,29.38,29.38,100
350,29.37,29.37,29.37,29.37,200
351,29.36,29.36,29.36,29.36,600
388,29.4,29.4,29.4,29.4,100
390,29.4,29.4,29.4,29.4,100
a1427117400,29.4,29.4,29.4,29.4,1331
4,29.4,29.4,29.4,29.4,3418
45,29.44,29.44,29.44,29.44,100
67,29.38,29.38,29.38,29.38,300
123,29.36,29.36,29.36,29.36,100
125,29.35,29.35,29.35,29.35,200
302,29.38,29.38,29.38,29.38,100
374,29.35,29.35,29.35,29.35,700
390,29.3,29.3,29.3,29.3,200
a1427203800,29.32,29.32,29.32,29.32,2321
77,29.14,29.14,29.14,29.14,400
107,29.191,29.191,29.191,29.191,100
183,29.17,29.17,29.17,29.17,300
271,29.13,29.13,29.13,29.13,100
276,29.11,29.11,29.11,29.11,500
285,29.12,29.12,29.12,29.12,100
388,29.05,29.05,29.05,29.05,100
a1427290200,29.12,29.12,29.12,29.12,556
3,29.07,29.07,29.07,29.07,100
6,29,29,29,29,375
9,29.01,29.01,29.01,29.01,100
12,28.95,28.95,28.95,28.95,200
19,28.93,28.93,28.93,28.93,100
71,28.95,28.95,28.95,28.95,500
132,28.81,28.81,28.81,28.81,100
147,28.78,28.78,28.78,28.78,400
154,28.77,28.77,28.77,28.77,100
171,28.77,28.77,28.77,28.77,100
176,28.72,28.72,28.72,28.72,100
203,28.72,28.72,28.72,28.72,100
240,28.75,28.75,28.75,28.75,100
277,28.74,28.74,28.74,28.74,600
286,28.7,28.7,28.7,28.7,100
317,28.67,28.67,28.67,28.67,3428
350,28.65,28.65,28.65,28.65,300
354,28.65,28.65,28.65,28.65,1100
387,28.63,28.63,28.63,28.63,100
a1427376600,28.49,28.49,28.49,28.49,4448
3,28.52,28.52,28.52,28.52,100
50,28.36,28.36,28.36,28.36,100
154,28.63,28.63,28.63,28.63,100
380,28.57,28.57,28.57,28.57,1100
390,28.53,28.53,28.53,28.53,195
a1427463000,28.57,28.57,28.57,28.57,1907
6,28.57,28.58,28.57,28.58,200
8,28.51,28.51,28.51,28.51,100
277,28.46,28.46,28.46,28.46,336
a1427722200,28.72,28.72,28.72,28.72,1474
3,28.8,28.8,28.8,28.8,200
5,28.78,28.78,28.78,28.78,100
18,28.85,28.85,28.85,28.85,200
88,28.86,28.86,28.86,28.86,289
a1427808600,28.84,28.84,28.84,28.84,1857
22,28.76,28.76,28.76,28.76,100
282,28.8,28.8,28.8,28.8,100
296,28.83,28.83,28.83,28.83,0
337,28.78,28.78,28.78,28.78,0
345,28.74,28.77,28.74,28.77,0
348,28.73,28.73,28.73,28.73,0
390,28.77,28.77,28.77,28.77,0
a1427895000,28.77,28.77,28.77,28.77,418
215,28.67,28.67,28.67,28.67,400
339,28.68,28.68,28.68,28.68,300
a1427981400,28.67,28.67,28.67,28.67,301
315,28.86,28.86,28.86,28.86,200
344,28.87,28.87,28.87,28.87,100
346,28.86,28.86,28.86,28.86,600
364,28.87,28.87,28.87,28.87,100
380,28.87,28.87,28.87,28.87,100
a1428327000,28.81,28.81,28.81,28.81,3889
6,28.66,28.66,28.66,28.66,482
36,28.8,28.8,28.8,28.8,100
129,28.93,28.93,28.93,28.93,100
247,28.97,28.97,28.97,28.97,600
323,28.97,28.97,28.97,28.97,100
351,28.93,28.93,28.93,28.93,300
390,28.93,28.93,28.93,28.93,145
a1428413400,28.99,28.99,28.99,28.99,1234
48,28.87,28.87,28.87,28.87,100
77,28.92,28.92,28.92,28.92,152
262,28.88,28.88,28.88,28.88,294
363,28.839,28.839,28.839,28.839,100
368,28.82,28.82,28.82,28.82,100
371,28.82,28.82,28.82,28.82,200
374,28.81,28.81,28.81,28.81,228
386,28.79,28.79,28.79,28.79,100
a1428499800,28.82,28.82,28.82,28.82,505
147,28.87,28.87,28.87,28.87,100
390,28.85,28.85,28.85,28.85,392
a1428586200,28.8,28.8,28.8,28.8,3722
5,28.85,28.85,28.85,28.85,0
26,28.8,28.8,28.8,28.8,0
72,28.77,28.77,28.77,28.77,0
73,28.76,28.76,28.76,28.76,0
74,28.75,28.75,28.75,28.75,0
77,28.73,28.73,28.73,28.73,0
78,28.72,28.72,28.72,28.72,0
83,28.69,28.7,28.69,28.7,0
