EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425652200,29.02,29.02,29.02,29.02,3115
3,28.96,28.99,28.96,28.99,700
7,28.99,28.99,28.99,28.99,100
9,29.01,29.01,29.01,29.01,100
10,29.03,29.03,29.03,29.03,100
12,29.06,29.06,29.06,29.06,200
13,29.06,29.06,29.06,29.06,500
14,29.07,29.07,29.07,29.07,100
16,29.1,29.1,29.1,29.1,100
19,29.11,29.11,29.11,29.11,170
22,29.1,29.1,29.1,29.1,100
29,29.11,29.11,29.11,29.11,100
31,29.11,29.11,29.11,29.11,100
46,29.03,29.03,29.03,29.03,100
52,29.04,29.04,29.04,29.04,200
131,28.82,28.82,28.82,28.82,400
133,28.8,28.8,28.8,28.8,400
198,28.79,28.79,28.79,28.79,500
201,28.79,28.79,28.79,28.79,100
204,28.78,28.78,28.78,28.78,100
283,28.76,28.76,28.76,28.76,1246
292,28.72,28.72,28.72,28.72,500
351,28.74,28.74,28.74,28.74,120
367,28.7,28.7,28.7,28.7,200
377,28.66,28.67,28.66,28.67,314
382,28.68,28.68,28.68,28.68,100
383,28.69,28.69,28.69,28.69,698
387,28.68,28.68,28.68,28.68,300
390,28.69,28.69,28.68,28.68,3670
TIMEZONE_OFFSET=-240
a1425907800,28.79,28.79,28.79,28.79,2410
2,28.77,28.77,28.77,28.77,100
4,28.76,28.76,28.76,28.76,100
13,28.78,28.78,28.78,28.78,200
22,28.75,28.75,28.75,28.75,200
28,28.74,28.74,28.74,28.74,300
47,28.74,28.74,28.74,28.74,284
60,28.74,28.74,28.74,28.74,522
137,28.79,28.79,28.79,28.79,100
153,28.77,28.77,28.77,28.77,300
390,28.81,28.81,28.81,28.81,182
a1425994200,28.63,28.63,28.63,28.63,1476
1,28.6,28.6,28.6,28.6,100
3,28.6,28.6,28.6,28.6,109
5,28.54,28.56,28.54,28.56,300
11,28.52,28.52,28.52,28.52,100
13,28.5,28.5,28.5,28.5,1765
32,28.44,28.44,28.44,28.44,1800
60,28.43,28.43,28.43,28.43,400
81,28.43,28.43,28.43,28.43,315
84,28.45,28.45,28.45,28.45,100
100,28.51,28.51,28.51,28.51,100
112,28.54,28.54,28.54,28.54,300
129,28.52,28.52,28.52,28.52,300
130,28.51,28.51,28.51,28.51,500
a1426080600,28.44,28.44,28.44,28.44,338
11,28.39,28.39,28.39,28.39,400
13,28.43,28.43,28.43,28.43,100
102,28.44,28.44,28.44,28.44,107
254,28.48,28.48,28.48,28.48,800
362,28.5,28.5,28.5,28.5,100
363,28.49,28.49,28.49,28.49,500
389,28.51,28.51,28.51,28.51,960
a1426167000,28.67,28.67,28.67,28.67,1602
3,28.77,28.77,28.77,28.77,300
4,28.81,28.81,28.81,28.81,100
6,28.83,28.83,28.83,28.83,583
32,28.9,28.9,28.9,28.9,100
96,28.85,28.85,28.85,28.85,700
138,28.89,28.89,28.89,28.89,100
145,28.89,28.89,28.89,28.89,400
223,28.91,28.91,28.91,28.91,5000
225,28.9,28.9,28.9,28.9,2200
229,28.92,28.92,28.91,28.91,10000
230,28.92,28.92,28.91,28.91,16000
234,28.9,28.9,28.9,28.9,100
389,29.1,29.1,29.1,29.1,131
a1426253400,29.06,29.06,29.06,29.06,2287
6,29.06,29.06,29.06,29.06,100
11,29,29.01,29,29.01,200
84,28.92,28.92,28.92,28.92,200
85,28.91,28.91,28.91,28.91,300
124,28.75,28.75,28.75,28.75,274
159,28.819,28.819,28.81,28.81,3700
227,28.8,28.8,28.8,28.8,600
283,28.8,28.8,28.795,28.8,5000
285,28.81,28.81,28.81,28.81,116
317,28.81,28.81,28.8,28.8,3100
323,28.82,28.82,28.81,28.81,8800
326,28.8,28.8,28.8,28.8,800
330,28.84,28.84,28.83,28.83,5000
331,28.84,28.84,28.83,28.83,7900
332,28.85,28.85,28.85,28.85,1800
335,28.83,28.83,28.83,28.83,226
337,28.84,28.84,28.84,28.84,900
338,28.84,28.84,28.84,28.84,900
344,28.84,28.85,28.84,28.85,1600
388,28.96,28.96,28.96,28.96,7800
390,28.95,28.95,28.95,28.95,154
a1426512600,29.09,29.09,29.09,29.09,1761
70,29.15,29.15,29.15,29.15,400
156,29.2,29.2,29.2,29.2,150
160,29.19,29.19,29.19,29.19,200
171,29.17,29.17,29.17,29.17,300
315,29.24,29.24,29.24,29.24,997
316,29.25,29.25,29.25,29.25,552
319,29.23,29.23,29.23,29.23,700
390,29.21,29.21,29.21,29.21,300
a1426599000,29.17,29.17,29.17,29.17,636
50,29.09,29.09,29.09,29.09,100
77,29.149,29.149,29.149,29.149,100
93,29.09,29.1,29.09,29.09,4100
107,29.09,29.09,29.09,29.09,100
156,29.05,29.05,29.05,29.05,1600
275,29.19,29.19,29.19,29.19,200
287,29.15,29.15,29.15,29.15,100
294,29.15,29.15,29.15,29.15,500
321,29.14,29.14,29.14,29.14,700
343,29.23,29.23,29.23,29.23,1000
354,29.23,29.23,29.23,29.23,190
371,29.23,29.23,29.23,29.23,1700
a1426685400,29.24,29.24,29.24,29.24,2364
4,29.15,29.15,29.15,29.15,200
28,29.1,29.1,29.1,29.1,100
82,29.13,29.13,29.13,29.13,700
167,29.11,29.11,29.11,29.11,100
210,29.08,29.08,29.08,29.08,800
280,29.29,29.29,29.29,29.29,200
303,29.36,29.36,29.36,29.36,200
318,29.4,29.4,29.4,29.4,700
319,29.38,29.39,29.38,29.39,500
364,29.33,29.33,29.33,29.33,800
a1426771800,29.35,29.35,29.35,29.35,1584
7,29.24,29.25,29.24,29.25,400
11,29.24,29.25,29.24,29.25,400
220,29.09,29.09,29.09,29.09,100
283,29.14,29.14,29.14,29.14,100
285,29.13,29.13,29.13,29.13,500
373,29.15,29.15,29.15,29.15,700
a1426858200,29.21,29.21,29.21,29.21,1036
4,29.1,29.1,29.1,29.1,100
99,29.23,29.23,29.23,29.23,190
179,29.28,29.28,29.28,29.28,100
261,29.33,29.33,29.33,29.33,100
271,29.33,29.33,29.33,29.33,200
292,29.35,29.35,29.35,29.35,100
331,29.37,29.37,29.37,29.37,300
345,29.38,29.38,29.38,29.38,100
350,29.37,29.37,29.37,29.37,200
351,29.36,29.36,29.36,29.36,600
388,29.4,29.4,29.4,29.4,100
390,29.4,29.4,29.4,29.4,100
a1427117400,29.4,29.4,29.4,29.4,1331
4,29.4,29.4,29.4,29.4,3418
45,29.44,29.44,29.44,29.44,100
