EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425652200,33.14,33.14,33.14,33.14,5587
1,33.05,33.06,33.05,33.06,200
7,33.02,33.02,33.02,33.02,300
12,33.019,33.019,33.019,33.019,200
20,33.01,33.01,33.01,33.01,100
24,32.97,32.97,32.97,32.97,1369
32,33.07,33.07,33.07,33.07,500
45,33.02,33.02,33.02,33.02,500
46,33.01,33.01,33.01,33.01,500
48,33.02,33.02,33.02,33.02,922
58,33.04,33.04,33.04,33.04,300
69,33.03,33.03,33.03,33.03,100
78,33.03,33.03,33.03,33.03,700
99,32.9,32.9,32.9,32.9,300
107,32.89,32.89,32.89,32.89,100
123,32.8,32.8,32.8,32.8,280
127,32.8,32.81,32.8,32.81,4100
155,32.82,32.82,32.82,32.82,120
217,32.73,32.73,32.73,32.73,100
241,32.7,32.7,32.7,32.7,400
258,32.67,32.67,32.67,32.67,100
308,32.67,32.68,32.67,32.68,1000
322,32.65,32.65,32.64,32.64,600
330,32.64,32.64,32.64,32.64,300
350,32.67,32.67,32.67,32.67,153
370,32.62,32.62,32.62,32.62,1500
371,32.61,32.61,32.61,32.61,699
372,32.61,32.61,32.61,32.61,175
374,32.6,32.6,32.6,32.6,100
375,32.6,32.6,32.6,32.6,3570
381,32.6,32.61,32.6,32.61,1200
382,32.6,32.61,32.6,32.61,200
384,32.62,32.62,32.62,32.62,100
385,32.62,32.63,32.62,32.62,918
386,32.64,32.64,32.64,32.64,100
390,32.65,32.65,32.65,32.65,271
TIMEZONE_OFFSET=-240
a1425907800,32.81,32.81,32.81,32.81,7290
9,32.68,32.68,32.68,32.68,1731
74,32.73,32.73,32.73,32.73,1450
76,32.72,32.72,32.72,32.72,200
107,32.74,32.74,32.74,32.74,100
136,32.78,32.78,32.78,32.78,500
144,32.74,32.74,32.74,32.74,100
222,32.78,32.78,32.78,32.78,400
225,32.79,32.79,32.79,32.79,100
228,32.77,32.78,32.77,32.78,400
269,32.88,32.89,32.88,32.89,1200
271,32.87,32.87,32.87,32.87,400
281,32.85,32.85,32.85,32.85,300
282,32.84,32.84,32.84,32.84,300
297,32.8,32.81,32.8,32.81,900
303,32.78,32.78,32.78,32.78,100
320,32.76,32.76,32.76,32.76,100
353,32.81,32.81,32.81,32.81,100
375,32.81,32.81,32.81,32.81,800
385,32.83,32.83,32.83,32.83,100
388,32.81,32.81,32.81,32.81,100
390,32.8,32.8,32.8,32.8,309
a1425994200,32.6,32.6,32.6,32.6,7483
1,32.6,32.6,32.6,32.6,1757
11,32.54,32.54,32.54,32.54,197
15,32.47,32.51,32.47,32.51,2260
20,32.45,32.46,32.45,32.46,200
22,32.4,32.4,32.4,32.4,1445
42,32.38,32.38,32.38,32.38,100
44,32.37,32.37,32.37,32.37,746
85,32.31,32.31,32.31,32.31,200
129,32.35,32.35,32.35,32.35,500
140,32.31,32.31,32.31,32.31,100
151,32.23,32.23,32.23,32.23,100
176,32.2,32.2,32.2,32.2,120
185,32.19,32.19,32.19,32.19,200
191,32.21,32.21,32.21,32.21,600
199,32.22,32.22,32.22,32.22,300
270,32.25,32.25,32.25,32.25,100
303,32.21,32.21,32.21,32.21,100
308,32.2,32.2,32.2,32.2,100
323,32.22,32.22,32.22,32.22,100
325,32.21,32.21,32.21,32.21,700
330,32.2,32.2,32.2,32.2,600
341,32.22,32.22,32.22,32.22,500
376,32.21,32.21,32.21,32.21,100
387,32.13,32.15,32.13,32.15,300
388,32.15,32.15,32.15,32.15,100
389,32.14,32.14,32.14,32.14,100
390,32.13,32.13,32.13,32.13,250
a1426080600,32.15,32.15,32.15,32.15,5330
4,32.1,32.1,32.1,32.1,920
6,32.08,32.08,32.08,32.08,200
15,32.12,32.12,32.12,32.12,376
28,32.17,32.17,32.17,32.17,100
47,32.149,32.149,32.149,32.149,100
63,32.12,32.12,32.12,32.12,500
84,32.03,32.03,32.03,32.03,100
142,32.12,32.12,32.12,32.12,100
257,31.99,32.01,31.99,32.01,500
283,32.03,32.03,32.03,32.03,100
289,32.09,32.09,32.09,32.09,100
293,32.08,32.08,32.08,32.08,700
335,32.08,32.08,32.08,32.08,711
342,32.04,32.04,32.04,32.04,400
348,32.02,32.02,32.02,32.02,300
360,31.97,31.97,31.97,31.97,100
363,31.95,31.95,31.95,31.95,400
364,31.95,31.95,31.95,31.95,200
365,31.95,31.95,31.95,31.95,400
372,31.95,31.95,31.95,31.95,300
376,31.99,31.99,31.99,31.99,100
382,31.96,31.96,31.96,31.96,100
384,31.97,31.97,31.97,31.97,881
385,31.97,31.97,31.97,31.97,200
386,31.98,31.98,31.98,31.98,100
387,31.98,31.98,31.98,31.98,150
389,31.98,31.98,31.98,31.98,100
390,31.96,31.96,31.96,31.96,100
a1426167000,31.89,31.89,31.89,31.89,11138
1,31.82,31.82,31.82,31.82,111
7,31.98,31.98,31.98,31.98,100
10,31.96,31.96,31.96,31.96,700
93,32.02,32.02,32.02,32.02,919
123,32.11,32.11,32.11,32.11,200
302,32.09,32.09,32.09,32.09,300
311,32.07,32.07,32.07,32.07,300
345,32.13,32.13,32.13,32.13,300
348,32.125,32.125,32.125,32.125,200
365,32.13,32.13,32.13,32.13,1800
378,32.15,32.15,32.15,32.15,100
a1426253400,32.12,32.12,32.12,32.12,4486
3,32.08,32.08,32.08,32.08,200
136,31.85,31.85,31.85,31.85,600
154,31.8,31.8,31.8,31.8,200
156,31.82,31.82,31.82,31.82,100
177,31.85,31.85,31.85,31.85,1200
232,31.82,31.82,31.82,31.82,300
236,31.81,31.81,31.81,31.81,300
259,31.84,31.84,31.84,31.84,205
267,31.84,31.84,31.84,31.84,100
271,31.85,31.85,31.85,31.85,701
274,31.83,31.83,31.83,31.83,200
281,31.82,31.82,31.82,31.82,300
285,31.83,31.83,31.83,31.83,400
290,31.82,31.82,31.82,31.82,300
291,31.82,31.82,31.82,31.82,100
297,31.81,31.81,31.8,31.8,400
298,31.82,31.82,31.82,31.82,300
300,31.84,31.84,31.83,31.83,700
302,31.85,31.85,31.85,31.85,100
304,31.85,31.85,31.85,31.85,100
305,31.86,31.86,31.86,31.86,500
307,31.86,31.86,31.86,31.86,2300
309,31.83,31.83,31.83,31.83,200
314,31.8,31.8,31.8,31.8,100
317,31.83,31.83,31.83,31.83,200
318,31.84,31.84,31.84,31.84,400
322,31.84,31.84,31.84,31.84,100
