EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1427203800,111.05,111.05,111.05,111.05,6397
1,110.94,110.94,110.94,110.94,100
6,110.85,110.85,110.85,110.85,800
9,110.77,110.77,110.77,110.77,100
10,110.81,110.81,110.81,110.81,100
37,111,111,111,111,196
39,110.86,110.86,110.86,110.86,100
40,110.86,110.86,110.77,110.85,812
52,111.01,111.01,111.01,111.01,192
53,110.9,110.95,110.9,110.95,700
83,111.06,111.06,111.06,111.06,320
97,110.98,110.98,110.98,110.98,157
98,111.01,111.01,111.01,111.01,200
112,111.01,111.01,111.01,111.01,100
134,110.97,110.97,110.97,110.97,200
151,110.88,110.88,110.88,110.88,200
174,110.83,110.83,110.83,110.83,100
175,110.83,110.83,110.83,110.83,100
176,110.83,110.83,110.83,110.83,100
180,110.83,110.83,110.83,110.83,204
210,110.54,110.54,110.54,110.54,100
211,110.52,110.52,110.52,110.52,126
221,110.39,110.39,110.39,110.39,100
233,110.38,110.39,110.38,110.39,454
249,110.29,110.29,110.29,110.29,100
279,110.25,110.25,110.25,110.25,250
280,110.25,110.25,110.25,110.25,820
312,110.24,110.24,110.24,110.24,100
340,110.26,110.26,110.26,110.26,200
349,110.26,110.26,110.26,110.26,100
365,110.1,110.1,110.1,110.1,100
388,110.03,110.03,110.03,110.03,100
389,109.99,109.99,109.99,109.99,600
390,110.09,110.09,110.09,110.09,936
a1427290200,110.08,110.08,110.08,110.08,1838
1,110.32,110.32,110.32,110.32,100
11,110.16,110.16,110.16,110.16,100
13,110.17,110.17,110.17,110.17,100
15,110.11,110.11,110.11,110.11,100
17,109.99,109.99,109.99,109.99,100
19,109.87,109.87,109.87,109.87,100
20,109.78,109.78,109.78,109.78,100
23,109.92,109.92,109.92,109.92,200
56,110.25,110.25,110.25,110.25,500
57,110.18,110.18,110.18,110.18,100
86,109.82,109.82,109.82,109.82,100
103,109.79,109.79,109.79,109.79,100
104,109.79,109.79,109.79,109.79,330
116,109.6,109.6,109.6,109.6,100
120,109.57,109.57,109.57,109.57,100
146,109.19,109.19,109.19,109.19,100
148,109.1,109.1,109.08,109.08,2600
158,109.04,109.05,109.04,109.05,250
176,109.07,109.07,109.07,109.07,100
186,108.81,108.81,108.81,108.81,892
205,108.93,108.93,108.93,108.93,100
223,108.72,108.72,108.72,108.72,100
235,108.66,108.66,108.66,108.66,100
236,108.66,108.66,108.66,108.66,100
237,108.61,108.61,108.61,108.61,100
273,108.72,108.72,108.72,108.72,100
278,108.76,108.76,108.76,108.76,408
287,108.8,108.8,108.8,108.8,100
302,109.03,109.03,109.03,109.03,100
308,108.95,108.95,108.95,108.95,100
313,108.78,108.78,108.78,108.78,125
337,108.62,108.62,108.62,108.62,100
338,108.62,108.62,108.62,108.62,100
340,108.56,108.56,108.56,108.56,300
342,108.57,108.57,108.57,108.57,100
350,108.55,108.55,108.55,108.55,126
369,108.45,108.45,108.44,108.44,400
390,108.22,108.23,108.22,108.23,477
a1427376600,107.53,107.53,107.53,107.53,1567
1,107.13,107.13,107.13,107.13,100
6,107.29,107.29,107.28,107.28,460
7,107.3,107.3,107.3,107.3,100
10,107.5,107.5,107.49,107.49,362
11,107.52,107.52,107.52,107.52,504
16,107.63,107.63,107.63,107.63,100
18,107.67,107.67,107.67,107.67,100
20,107.87,107.87,107.87,107.87,100
22,107.89,107.89,107.88,107.88,200
41,107.21,107.21,107.21,107.21,150
66,107.35,107.35,107.35,107.35,200
91,107.42,107.42,107.42,107.42,141
94,107.38,107.38,107.38,107.38,142
119,107.2,107.2,107.2,107.2,100
151,107.71,107.71,107.71,107.71,100
166,107.7,107.7,107.62,107.62,300
184,107.6,107.6,107.59,107.59,2700
187,107.64,107.64,107.6,107.63,20049
188,107.68,107.68,107.63,107.64,1037
189,107.74,107.74,107.7,107.7,2600
190,107.74,107.74,107.74,107.74,300
191,107.75,107.75,107.73,107.73,2100
192,107.75,107.75,107.73,107.73,2100
193,107.66,107.71,107.66,107.71,4266
194,107.65,107.65,107.64,107.64,600
201,107.76,107.76,107.76,107.76,100
221,107.84,107.84,107.83,107.83,300
231,107.66,107.66,107.66,107.66,100
243,107.73,107.73,107.73,107.73,300
251,107.88,107.88,107.87,107.87,400
252,107.92,107.92,107.92,107.92,100
256,108.15,108.15,108.15,108.15,200
260,108.1,108.1,108.1,108.1,200
263,108.18,108.18,108.18,108.18,200
264,108.22,108.22,108.22,108.22,100
267,108.23,108.23,108.22,108.22,1900
272,108.08,108.1,108.08,108.1,2500
273,108.08,108.08,108.08,108.08,300
274,108.03,108.07,108.03,108.07,600
275,108.02,108.03,108.01,108.03,1149
276,107.97,107.98,107.97,107.98,1500
277,107.94,107.95,107.93,107.95,1500
279,107.9,107.9,107.9,107.9,100
286,107.71,107.71,107.71,107.71,200
308,107.85,107.85,107.85,107.85,300
309,107.83,107.83,107.83,107.83,300
331,107.55,107.55,107.55,107.55,300
333,107.55,107.55,107.55,107.55,300
337,107.55,107.55,107.55,107.55,300
338,107.58,107.58,107.55,107.55,400
356,107.56,107.56,107.56,107.56,100
372,107.57,107.57,107.57,107.57,126
389,107.59,107.59,107.57,107.57,600
390,107.56,107.6,107.55,107.6,317
a1427463060,107.68,107.68,107.68,107.68,100
11,108.44,108.44,108.44,108.44,500
12,108.36,108.36,108.36,108.36,260
13,108.32,108.37,108.32,108.37,450
14,108.35,108.35,108.35,108.35,160
17,108.25,108.25,108.25,108.25,1200
38,108.47,108.47,108.47,108.47,100
42,108.33,108.33,108.33,108.33,200
98,108.59,108.59,108.59,108.59,100
120,108.41,108.41,108.41,108.41,200
227,108.53,108.53,108.53,108.53,100
334,108.65,108.65,108.65,108.65,171
375,108.57,108.57,108.57,108.57,221
378,108.46,108.46,108.46,108.46,300
384,108.47,108.47,108.47,108.47,153
387,108.54,108.54,108.54,108.54,172
a1427722200,109,109,109,109,2009
2,109,109.01,108.96,108.97,3692
11,109.19,109.19,109.19,109.19,100
14,109.43,109.43,109.25,109.25,500
18,109.48,109.48,109.48,109.48,100
30,109.47,109.47,109.47,109.47,500
33,109.37,109.37,109.37,109.37,500
39,109.23,109.23,109.23,109.23,100
50,109.26,109.26,109.26,109.26,100
74,109.24,109.24,109.24,109.24,100
104,109.34,109.34,109.34,109.34,100
105,109.48,109.48,109.48,109.48,233
119,109.35,109.39,109.31,109.39,6600
120,109.41,109.43,109.41,109.43,300
121,109.37,109.37,109.37,109.37,100
135,109.3,109.3,109.3,109.3,400
173,109.23,109.23,109.23,109.23,100
180,109.3,109.3,109.3,109.3,1000
204,109.25,109.25,109.25,109.25,100
227,109.33,109.33,109.33,109.33,100
252,109.41,109.41,109.41,109.41,100
296,109.41,109.41,109.41,109.41,100
337,109.53,109.53,109.53,109.53,100
349,109.54,109.54,109.54,109.54,100
367,109.43,109.43,109.43,109.43,100
377,109.39,109.39,109.39,109.39,100
379,109.49,109.49,109.49,109.49,397
380,109.48,109.48,109.48,109.48,190
388,109.37,109.38,109.37,109.38,250
389,109.45,109.45,109.45,109.45,100
a1427808600,108.68,108.68,108.68,108.68,3355
11,108.59,108.59,108.59,108.59,100
60,108.76,108.76,108.76,108.76,300
71,108.78,108.78,108.78,108.78,109
80,108.81,108.81,108.81,108.81,300
82,108.76,108.76,108.76,108.76,100
84,108.67,108.73,108.67,108.73,400
140,108.54,108.54,108.54,108.54,100
237,108.499,108.499,108.499,108.499,400
264,108.36,108.36,108.36,108.36,100
276,108.409,108.409,108.4,108.4,200
316,108.31,108.31,108.31,108.31,100
329,108.29,108.29,108.29,108.29,100
359,107.95,107.95,107.95,107.95,288
371,107.95,107.95,107.95,107.95,100
373,107.95,107.95,107.94,107.94,297
374,107.95,107.95,107.95,107.95,250
375,107.95,107.95,107.95,107.95,300
377,107.93,107.93,107.93,107.93,300
379,107.97,107.97,107.97,107.97,600
381,107.94,107.94,107.94,107.94,100
382,107.89,107.89,107.88,107.88,600
383,107.85,107.85,107.85,107.85,969
385,107.82,107.85,107.82,107.85,600
386,107.87,107.87,107.82,107.82,1372
387,107.87,107.87,107.87,107.87,100
