EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1427203800,47.35,47.35,47.35,47.35,100
49,47.36,47.36,47.36,47.36,1800
76,47.34,47.34,47.34,47.34,100
88,47.33,47.34,47.33,47.34,200
89,47.29,47.29,47.29,47.29,100
97,47.22,47.22,47.22,47.22,100
281,47.05,47.05,47.05,47.05,100
373,47.11,47.11,47.11,47.11,100
374,47.11,47.11,47.1,47.1,1192
375,47.09,47.095,47.08,47.09,1859
385,47.01,47.01,47.01,47.01,417
390,47.05,47.05,47.05,47.05,268
a1427290200,47.08,47.08,47.08,47.08,3251
79,47.08,47.08,47.08,47.08,1500
139,47,47,47,47,2450
287,46.97,46.97,46.97,46.97,200
390,46.81,46.81,46.81,46.81,1458
a1427376600,46.53,46.53,46.53,46.53,2939
151,46.53,46.53,46.53,46.53,1400
163,46.47,46.47,46.47,46.47,200
228,46.45,46.45,46.45,46.45,200
339,46.37,46.37,46.37,46.37,100
a1427463480,46.35,46.35,46.35,46.35,100
15,46.38,46.38,46.38,46.38,200
27,46.41,46.41,46.41,46.41,250
89,46.59,46.59,46.59,46.59,500
233,46.55,46.55,46.55,46.55,200
323,46.54,46.54,46.54,46.54,700
356,46.55,46.55,46.55,46.55,1200
381,46.56,46.56,46.56,46.56,100
a1427722200,46.51,46.51,46.51,46.51,5104
16,46.46,46.46,46.46,46.46,2300
34,46.58,46.58,46.56,46.56,200
313,46.85,46.85,46.85,46.85,100
381,46.77,46.77,46.77,46.77,100
390,46.8,46.8,46.8,46.8,419
a1427808600,46.36,46.36,46.36,46.36,1120
45,46.62,46.62,46.62,46.62,100
46,46.62,46.62,46.62,46.62,100
47,46.62,46.62,46.62,46.62,100
49,46.62,46.62,46.62,46.62,300
67,46.7,46.7,46.7,46.7,100
76,46.68,46.68,46.68,46.68,100
98,46.55,46.55,46.55,46.55,100
112,46.55,46.55,46.55,46.55,100
211,46.36,46.36,46.36,46.36,500
237,46.41,46.41,46.41,46.41,200
329,46.46,46.46,46.46,46.46,100
386,46.47,46.47,46.47,46.47,100
390,46.46,46.53,46.46,46.53,0
a1427895600,46.12,46.12,46.12,46.12,200
7,46.29,46.29,46.29,46.29,100
72,46.49,46.49,46.49,46.49,400
88,46.58,46.58,46.58,46.58,2000
89,46.58,46.59,46.56,46.58,11300
140,46.71,46.72,46.7,46.7,12300
142,46.65,46.66,46.65,46.66,2000
150,46.62,46.62,46.62,46.62,100
192,46.56,46.56,46.56,46.56,1300
363,46.69,46.69,46.64,46.64,2138
380,46.66,46.66,46.66,46.66,278
a1427981400,46.64,46.64,46.64,46.64,513
263,46.86,46.86,46.86,46.86,2300
264,46.87,46.87,46.84,46.86,11100
276,46.82,46.82,46.82,46.82,100
379,46.83,46.83,46.83,46.83,100
a1428327000,46.83,46.83,46.83,46.83,1617
1,47.15,47.15,47.15,47.15,100
7,47.15,47.15,47.15,47.15,100
133,47.63,47.63,47.63,47.63,100
152,47.63,47.63,47.63,47.63,200
163,47.62,47.62,47.62,47.62,100
248,47.481,47.481,47.481,47.481,410
294,47.52,47.52,47.52,47.52,100
320,47.55,47.55,47.55,47.55,100
339,47.5,47.5,47.5,47.5,200
340,47.48,47.48,47.48,47.48,800
342,47.33,47.34,47.33,47.34,220
371,47.31,47.37,47.3,47.37,700
385,47.35,47.35,47.35,47.35,100
a1428413400,47.55,47.55,47.55,47.55,1008
224,47.44,47.44,47.44,47.44,100
368,47.33,47.33,47.33,47.33,100
a1428499800,47.36,47.36,47.36,47.36,1950
56,47.15,47.15,47.15,47.15,200
85,47.03,47.03,47.03,47.03,200
117,47.04,47.04,47.04,47.04,200
153,47.21,47.21,47.21,47.21,100
155,47.14,47.14,47.14,47.14,100
158,47.161,47.161,47.161,47.161,133
198,47.13,47.13,47.13,47.13,200
258,47.17,47.17,47.17,47.17,100
311,47.23,47.23,47.22,47.22,1000
313,47.25,47.25,47.25,47.25,500
345,47.24,47.24,47.24,47.24,1000
346,47.23,47.23,47.23,47.23,100
362,47.2,47.2,47.2,47.2,100
368,47.17,47.17,47.17,47.17,100
373,47.24,47.24,47.24,47.24,100
374,47.19,47.19,47.19,47.19,100
a1428586200,47.21,47.21,47.21,47.21,780
35,47.15,47.15,47.15,47.15,100
109,47.03,47.03,47.03,47.03,400
165,46.99,46.99,46.99,46.99,200
179,47.03,47.03,47.03,47.03,100
283,46.99,46.99,46.99,46.99,1700
293,47,47,47,47,100
a1428672600,47.01,47.01,47.01,47.01,263
67,47.14,47.14,47.14,47.14,100
82,47.24,47.24,47.24,47.24,100
160,47.23,47.23,47.23,47.23,137
271,47.21,47.21,47.21,47.21,1600
a1428931800,47.16,47.16,47.16,47.16,461
114,47.17,47.18,47.17,47.18,550
254,47.04,47.04,47.03,47.04,4279
385,46.9,46.9,46.9,46.9,0
