EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1424961000,48.09,48.09,48.09,48.09,1892
30,47.88,47.89,47.88,47.88,500
48,47.84,47.84,47.84,47.84,200
49,47.84,47.84,47.84,47.84,200
84,47.81,47.81,47.81,47.81,100
88,47.81,47.81,47.81,47.81,100
90,47.82,47.82,47.82,47.82,100
131,47.91,47.91,47.91,47.91,851
143,47.9,47.9,47.9,47.9,100
151,47.93,47.93,47.93,47.93,300
159,47.89,47.89,47.89,47.89,200
166,47.83,47.83,47.83,47.83,100
240,47.83,47.83,47.83,47.83,100
257,47.81,47.81,47.81,47.81,100
258,47.82,47.82,47.82,47.82,1287
259,47.82,47.82,47.82,47.82,2300
260,47.81,47.81,47.8,47.8,500
262,47.82,47.82,47.81,47.81,200
a1425047400,47.97,47.97,47.97,47.97,1200
9,47.83,47.83,47.83,47.83,100
16,47.8,47.8,47.8,47.8,100
23,47.8,47.8,47.8,47.8,100
30,47.67,47.71,47.67,47.71,200
32,47.75,47.75,47.71,47.71,500
41,47.7,47.7,47.7,47.7,100
43,47.72,47.72,47.72,47.72,900
45,47.71,47.71,47.71,47.71,100
46,47.72,47.72,47.72,47.72,100
47,47.75,47.75,47.75,47.75,100
49,47.73,47.73,47.73,47.73,100
50,47.74,47.74,47.74,47.74,100
53,47.72,47.72,47.72,47.72,200
55,47.73,47.73,47.72,47.72,200
57,47.72,47.72,47.72,47.72,100
61,47.7,47.7,47.7,47.7,100
62,47.75,47.75,47.75,47.75,100
65,47.72,47.72,47.72,47.72,100
68,47.73,47.73,47.73,47.73,400
74,47.74,47.74,47.74,47.74,200
75,47.76,47.76,47.74,47.75,300
76,47.76,47.76,47.76,47.76,200
78,47.78,47.78,47.78,47.78,100
92,47.81,47.81,47.81,47.81,100
234,47.96,47.97,47.94,47.94,15269
235,47.95,47.96,47.94,47.94,2600
236,47.95,47.955,47.94,47.955,1700
237,47.95,47.95,47.94,47.95,17400
239,47.95,47.95,47.95,47.95,4800
240,47.96,47.96,47.96,47.96,300
241,47.95,47.95,47.95,47.95,800
242,47.96,47.96,47.95,47.95,400
243,47.96,47.96,47.96,47.96,100
252,47.88,47.88,47.88,47.88,100
293,47.9,47.9,47.9,47.9,600
319,47.82,47.82,47.82,47.82,900
342,47.84,47.87,47.84,47.87,2800
343,47.86,47.87,47.85,47.85,3100
351,47.86,47.87,47.86,47.86,3800
352,47.86,47.86,47.86,47.86,600
358,47.87,47.87,47.87,47.87,5000
373,47.95,47.95,47.95,47.95,5000
374,47.93,47.93,47.93,47.93,100
390,47.93,47.93,47.93,47.93,400
a1425306600,47.78,47.78,47.78,47.78,161
29,47.4,47.49,47.4,47.49,400
34,47.41,47.42,47.41,47.42,200
49,47.33,47.33,47.33,47.33,100
111,47.08,47.08,47.08,47.08,100
125,47.11,47.11,47.11,47.11,100
138,47.12,47.12,47.12,47.12,100
196,47.04,47.04,46.99,47.02,7382
236,47.17,47.17,47.17,47.17,267
254,47.26,47.26,47.22,47.23,672
255,47.26,47.26,47.26,47.26,100
267,47.211,47.211,47.211,47.211,635
271,47.29,47.29,47.25,47.25,336
292,47.22,47.22,47.22,47.22,764
313,47.2,47.2,47.2,47.2,900
324,47.26,47.26,47.22,47.22,200
334,47.24,47.24,47.24,47.24,341
336,47.25,47.25,47.25,47.25,500
339,47.25,47.25,47.25,47.25,600
341,47.24,47.24,47.24,47.24,300
342,47.27,47.27,47.27,47.27,400
343,47.26,47.26,47.26,47.26,100
349,47.22,47.22,47.22,47.22,800
351,47.21,47.21,47.21,47.21,200
359,47.22,47.22,47.22,47.22,114
375,47.22,47.22,47.22,47.22,200
377,47.24,47.24,47.24,47.24,106
379,47.25,47.25,47.25,47.25,900
381,47.25,47.25,47.25,47.25,100
385,47.23,47.23,47.23,47.23,800
387,47.22,47.22,47.22,47.22,200
389,47.23,47.23,47.23,47.23,661
390,47.23,47.23,47.23,47.23,200
a1425393000,47.12,47.12,47.12,47.12,981
13,46.92,46.92,46.91,46.92,2954
50,46.83,46.88,46.83,46.88,1000
66,46.98,46.98,46.98,46.98,100
67,46.92,46.92,46.92,46.92,200
74,46.94,46.94,46.94,46.94,129
125,47.03,47.03,47.03,47.03,100
145,47.02,47.02,47.02,47.02,100
263,47.11,47.12,47.11,47.12,1100
271,47.11,47.11,47.11,47.11,800
272,47.1,47.11,47.08,47.09,5950
273,47.1,47.1,47.08,47.08,900
280,47.1,47.1,47.1,47.1,100
282,47.11,47.11,47.11,47.11,4200
283,47.12,47.12,47.11,47.11,17009
284,47.11,47.12,47.1,47.12,400
285,47.09,47.1,47.09,47.1,300
289,47.11,47.11,47.11,47.11,100
293,47.11,47.11,47.11,47.11,100
313,47.05,47.05,47.05,47.05,31754
314,47.03,47.03,47.03,47.03,200
316,47.06,47.06,47.03,47.03,3100
317,47.05,47.06,47.05,47.06,2700
319,47.05,47.05,47.05,47.05,23700
320,47.05,47.05,47.05,47.05,1400
321,47.05,47.05,47.05,47.05,6000
322,47.05,47.05,47.05,47.05,10000
323,47.02,47.05,47.02,47.05,31900
324,47.02,47.02,47.02,47.02,119000
325,47.05,47.05,47.03,47.04,122400
327,47.05,47.06,47.05,47.06,134800
328,47.05,47.07,47.05,47.05,20300
329,47.05,47.05,47.05,47.05,89400
331,47.05,47.05,47.05,47.05,27100
333,47.04,47.04,47.04,47.04,100
336,47.05,47.05,47.05,47.05,11000
337,47.05,47.05,47.05,47.05,22922
338,47.05,47.05,47.05,47.05,24950
349,47.01,47.03,46.97,47.03,293300
350,47.02,47.02,47.01,47.01,197400
354,47.05,47.05,47.05,47.05,124950
355,47.05,47.05,47.05,47.05,49900
356,47.06,47.06,47.06,47.06,13000
357,47.07,47.07,47.07,47.07,1300
358,47.07,47.07,47.07,47.07,2500
367,47.08,47.08,47.08,47.08,800
369,47.08,47.08,47.08,47.08,600
376,47.08,47.08,47.08,47.08,100
385,47.1,47.1,47.1,47.1,900
387,47.12,47.12,47.12,47.12,100
390,47.13,47.13,47.13,47.13,200
a1425479400,46.81,46.81,46.81,46.81,1551
8,46.67,46.67,46.67,46.67,100
28,46.68,46.68,46.67,46.67,200
30,46.67,46.67,46.67,46.67,200
32,46.64,46.64,46.64,46.64,200
34,46.63,46.65,46.63,46.65,600
58,46.61,46.61,46.61,46.61,709
59,46.6,46.6,46.6,46.6,100
