EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1425652200,109.08,109.08,109.08,109.08,5920
1,108.98,108.98,108.98,108.98,255
7,108.93,108.93,108.93,108.93,100
8,108.93,108.93,108.93,108.93,100
10,108.85,108.85,108.85,108.85,400
15,108.89,108.89,108.89,108.89,100
17,108.94,108.94,108.94,108.94,100
18,108.93,108.93,108.93,108.93,100
22,108.77,108.77,108.77,108.77,500
26,109.05,109.07,109.05,109.07,300
31,109.08,109.08,109.08,109.08,100
37,109.04,109.04,109.04,109.04,100
39,109.1,109.1,109.1,109.1,500
41,109.03,109.03,109.03,109.03,100
42,109.11,109.11,109.11,109.11,183
44,109.1,109.1,109.1,109.1,280
46,108.98,108.98,108.98,108.98,100
47,108.98,108.98,108.98,108.98,100
48,108.98,108.98,108.98,108.98,100
49,108.97,108.97,108.97,108.97,100
51,109.03,109.06,109.03,109.06,1952
52,109.02,109.02,109.02,109.02,100
55,109.07,109.07,109.07,109.07,100
56,109.09,109.09,109.07,109.07,2130
59,109.06,109.06,109.06,109.06,100
68,109.11,109.11,109.11,109.11,400
69,109.04,109.04,109.04,109.04,100
71,109,109,109,109,100
78,109,109.03,109,109.03,200
81,109.02,109.02,109.02,109.02,100
82,108.93,108.93,108.93,108.93,100
83,108.96,108.96,108.96,108.96,400
85,108.89,108.89,108.89,108.89,381
87,108.81,108.81,108.81,108.81,100
88,108.85,108.85,108.85,108.85,2000
89,108.85,108.85,108.85,108.85,100
90,108.87,108.87,108.87,108.87,100
91,108.86,108.86,108.86,108.86,100
97,108.67,108.67,108.67,108.67,100
99,108.58,108.6,108.58,108.6,294
103,108.5,108.5,108.5,108.5,100
105,108.57,108.57,108.56,108.56,200
106,108.53,108.55,108.53,108.55,200
109,108.55,108.55,108.55,108.55,100
110,108.46,108.46,108.44,108.44,200
112,108.46,108.46,108.46,108.46,100
115,108.41,108.44,108.41,108.44,200
119,108.44,108.44,108.44,108.44,100
121,108.27,108.27,108.241,108.27,400
122,108.28,108.28,108.28,108.28,100
123,108.27,108.27,108.27,108.27,100
125,108.3,108.3,108.3,108.3,200
127,108.31,108.31,108.31,108.31,100
128,108.35,108.35,108.35,108.35,370
129,108.26,108.26,108.26,108.26,100
132,108.28,108.35,108.28,108.35,617
137,108.18,108.18,108.18,108.18,100
138,108.18,108.18,108.18,108.18,500
140,108.15,108.18,108.15,108.18,200
143,108.23,108.23,108.18,108.18,200
156,108.33,108.33,108.33,108.33,100
158,108.32,108.32,108.32,108.32,243
160,108.39,108.42,108.39,108.42,6500
163,108.36,108.36,108.36,108.36,100
165,108.34,108.34,108.34,108.34,100
167,108.36,108.36,108.36,108.36,859
168,108.3,108.33,108.3,108.33,200
170,108.17,108.24,108.17,108.24,200
171,108.1,108.1,108.1,108.1,100
172,108.001,108.001,108.001,108.001,320
173,108.05,108.05,108.05,108.05,200
174,108,108,108,108,909
177,108.03,108.03,108.03,108.03,100
181,108.09,108.09,108.09,108.09,200
186,108.11,108.11,108.11,108.11,100
193,108.15,108.15,108.15,108.15,200
197,108.21,108.21,108.21,108.21,100
199,108.21,108.21,108.21,108.21,300
202,108.21,108.21,108.21,108.21,100
206,108.01,108.05,108.01,108.05,200
207,108,108,108,108,100
209,108.03,108.03,108.03,108.03,100
212,108.15,108.15,108.15,108.15,500
216,108.01,108.01,108.01,108.01,232
217,108.07,108.07,108.07,108.07,200
220,107.99,108.05,107.99,108.05,200
223,108.02,108.02,108.02,108.02,100
225,108.05,108.05,108.04,108.04,3874
226,108.09,108.09,108.09,108.09,100
230,108.06,108.06,108.06,108.06,100
232,108,108,108,108,100
234,107.96,107.96,107.96,107.96,200
235,107.9,107.94,107.9,107.94,200
236,107.87,107.87,107.87,107.87,200
238,107.84,107.87,107.84,107.87,749
239,107.92,107.92,107.92,107.92,300
244,107.91,107.91,107.9,107.9,200
245,107.88,107.88,107.88,107.88,100
248,107.89,107.91,107.88,107.91,500
250,107.89,107.89,107.88,107.88,200
251,107.88,107.88,107.88,107.88,200
252,107.9,107.9,107.9,107.9,375
253,107.91,107.92,107.91,107.92,200
254,107.89,107.89,107.89,107.89,100
256,107.87,107.87,107.87,107.87,100
258,107.81,107.81,107.8,107.8,1479
259,107.84,107.84,107.82,107.82,200
260,107.84,107.84,107.84,107.84,100
261,107.87,107.87,107.87,107.87,100
263,107.859,107.859,107.859,107.859,100
265,107.87,107.87,107.87,107.87,400
268,107.85,107.85,107.85,107.85,100
270,107.93,107.93,107.93,107.93,100
273,108.03,108.03,108.03,108.03,100
274,108.02,108.02,108.02,108.02,390
275,108.06,108.06,108.06,108.06,100
278,108.08,108.08,108.08,108.08,100
279,108.14,108.14,108.14,108.14,100
282,108.17,108.199,108.17,108.199,300
285,108.13,108.13,108.13,108.13,100
287,108.11,108.11,108.11,108.11,100
289,108.07,108.07,108.07,108.07,100
293,107.9,107.9,107.9,107.9,100
294,107.9,107.9,107.84,107.84,481
296,107.9,107.9,107.9,107.9,100
297,107.93,107.93,107.92,107.92,545
298,107.92,107.93,107.92,107.93,300
306,107.88,107.91,107.88,107.91,500
308,107.82,107.85,107.82,107.85,200
309,107.81,107.81,107.81,107.81,1500
315,107.75,107.75,107.74,107.74,381
316,107.8,107.8,107.79,107.79,996
317,107.79,107.79,107.79,107.79,100
318,107.78,107.78,107.78,107.78,100
321,107.76,107.76,107.76,107.76,100
322,107.72,107.72,107.72,107.72,100
323,107.739,107.739,107.739,107.739,600
329,107.77,107.77,107.77,107.77,100
336,107.959,107.96,107.959,107.96,750
338,107.919,107.919,107.919,107.919,600
339,107.93,107.93,107.93,107.93,300
340,107.88,107.88,107.88,107.88,100
341,107.87,107.87,107.87,107.87,100
342,107.9,107.9,107.9,107.9,100
343,107.83,107.83,107.83,107.83,200
345,107.82,107.82,107.82,107.82,100
346,107.83,107.86,107.83,107.84,1200
349,107.82,107.82,107.82,107.82,100
352,107.86,107.86,107.86,107.86,194
355,107.88,107.88,107.86,107.86,700
356,107.91,107.91,107.91,107.91,100
359,107.76,107.76,107.75,107.75,679
360,107.73,107.73,107.73,107.73,100
361,107.72,107.72,107.7,107.7,200
362,107.76,107.78,107.75,107.75,300
363,107.75,107.75,107.75,107.75,100
364,107.68,107.68,107.65,107.65,390
365,107.639,107.639,107.63,107.63,280
369,107.65,107.65,107.6,107.6,600
